Afganistán|Afghanistan
Andorra|Andorra
Angola|Angola
Antigua y Barbuda|Antigua and Barbuda
Azerbaiyán|Azerbaijan
Baréin|Bahrain
Belice|Belize
Benín|Benin
Birmania|Myanmar
Botsuana|Botswana
Brunéi|Brunei
Burkina Faso|Burkina Faso
Burundi|Burundi
Cabo Verde|Cape Verde
Camerún|Cameroon
Catar|Qatar
Chad|Chad
Chipre|Cyprus
Comoras|Comoros
Corea del Norte|North Korea
Costa de Marfil|Ivory Coast
Dominica|Dominica
Eritrea|Eritrea
Esuatini|Eswatini
Fiyi|Fiji
Gabón|Gabon
Gambia|The Gambia
Granada|Grenada
Guinea|Guinea
Guinea-Bisáu|Guinea-Bissau
Guinea Ecuatorial|Equatorial Guinea
Guyana|Guyana
Irak|Iraq
Islas Marshall|Marshall Islands
Islas Salomón|Solomon Islands
Jordania|Jordan
Kirguistán|Kyrgyzstan
Kiribati|Kiribati
Kuwait|Kuwait
Laos|Laos
Lesoto|Lesotho
Líbano|Lebanon
Liberia|Liberia
Libia|Libya
Liechtenstein|Liechtenstein
Malaui|Malawi
Maldivas|Maldives
Malí|Mali
Malta|Malta
Mauricio|Mauritius
Mauritania|Mauritania
Micronesia|Micronesia
Mozambique|Mozambique
Namibia|Namibia
Nauru|Nauru
Níger|Niger
Omán|Oman
Palaos|Palau
Palestina|Palestine
Papúa Nueva Guinea|Papua New Guinea
República Centroafricana|Central African Republic
República del Congo|Republic of the Congo
República Democrática del Congo|Democratic Republic of the Congo
Ruanda|Rwanda
Samoa|Samoa
San Cristóbal y Nieves|Saint Kitts and Nevis
San Marino|San Marino
San Vicente y las Granadinas|Saint Vincent and the Grenadines
Santa Lucía|Saint Lucia
Santo Tomé y Príncipe|Sao Tome and Principe
Seychelles|Seychelles
Sierra Leona|Sierra Leone
Siria|Syria
Somalia|Somalia
Sudán|Sudan
Sudán del Sur|South Sudan
Surinam|Suriname
Taiwán|Taiwan
Tanzania|Tanzania
Tayikistán|Tajikistan
Timor Oriental|East Timor
Togo|Togo
Tonga|Tonga
Turkmenistán|Turkmenistan
Tuvalu|Tuvalu
Uganda|Uganda
Uzbekistán|Uzbekistan
Vanuatu|Vanuatu
Vaticano|Vatican City
Yemen|Yemen
Yibuti|Djibouti
Zambia|Zambia
Zimbabue|Zimbabwe
